dataset,clf,y_true,y_point,p_max,T,I,F
Digits,LR,0,1,0.93373,0.91501,0.1465,0.0
Digits,LR,0,0,0.98481,0.98484,0.02956,0.0
Digits,LR,1,1,0.89527,0.75335,0.44723,0.2
Digits,LR,0,0,0.96549,0.96162,0.05585,0.0
Digits,LR,1,1,0.73445,0.76688,0.13002,0.0
Digits,LR,1,1,0.99966,0.99963,0.00062,0.0
Digits,LR,0,0,0.98655,0.98644,0.02335,0.0
Digits,LR,1,1,0.97091,0.97669,0.0275,0.0
Digits,LR,1,1,0.87423,0.84821,0.25677,0.0
Digits,LR,0,0,0.98322,0.97705,0.03745,0.0
Digits,LR,1,1,0.94744,0.96683,0.03571,0.0
Digits,LR,0,0,0.99992,0.99994,0.00014,0.0
Digits,LR,1,1,0.99846,0.99874,0.00198,0.0
Digits,LR,1,1,0.95509,0.96758,0.02652,0.0
Digits,LR,1,1,0.99336,0.99507,0.00537,0.0
Digits,LR,0,0,0.98006,0.97684,0.04215,0.0
Digits,LR,1,1,0.99743,0.99811,0.00245,0.0
Digits,LR,0,0,0.9991,0.9991,0.00167,0.0
Digits,LR,0,0,0.95206,0.96367,0.04114,0.0
Digits,LR,1,1,0.98116,0.97285,0.05998,0.0
Digits,LR,1,1,0.99472,0.99582,0.00566,0.0
Digits,LR,0,0,0.99998,0.99998,4e-05,0.0
Digits,LR,0,0,0.99876,0.99877,0.00189,0.0
Digits,LR,1,1,0.96707,0.967,0.04813,0.0
Digits,LR,1,1,0.97466,0.96879,0.04507,0.0
Digits,LR,1,1,0.99989,0.99986,0.00031,0.0
Digits,LR,1,1,1.0,1.0,1e-05,0.0
Digits,LR,1,1,0.68999,0.71923,0.31265,0.05
Digits,LR,1,1,0.99998,0.99998,4e-05,0.0
Digits,LR,0,0,0.99245,0.99185,0.01226,0.0
Digits,LR,0,0,0.99984,0.99986,0.00028,0.0
Digits,LR,0,0,0.99914,0.99943,0.00075,0.0
Digits,LR,0,0,0.99994,0.99995,0.00011,0.0
Digits,LR,0,0,0.97829,0.97087,0.0583,0.0
Digits,LR,0,0,0.99654,0.99734,0.00398,0.0
Digits,LR,0,1,0.71308,0.68952,0.26343,0.05
Digits,LR,0,0,0.94243,0.91593,0.13889,0.0
Digits,LR,1,1,0.98783,0.98896,0.01334,0.0
Digits,LR,0,0,0.88964,0.8328,0.25701,0.0
Digits,LR,0,0,0.88378,0.83314,0.19071,0.0
Digits,LR,1,1,0.95441,0.9653,0.04353,0.0
Digits,LR,0,0,0.9952,0.99575,0.00765,0.0
Digits,LR,1,1,0.99264,0.99531,0.0065,0.0
Digits,LR,1,1,0.98633,0.98656,0.01729,0.0
Digits,LR,0,0,0.99182,0.99291,0.01112,0.0
Digits,LR,0,0,0.82172,0.771,0.24083,0.05
Digits,LR,0,0,0.99938,0.99953,0.00074,0.0
Digits,LR,0,0,0.92292,0.93752,0.08197,0.0
Digits,LR,1,1,0.99114,0.99176,0.01313,0.0
Digits,LR,1,1,0.99856,0.99913,0.00182,0.0
Digits,LR,1,1,0.97489,0.97099,0.06859,0.0
Digits,LR,0,0,0.99959,0.99959,0.00083,0.0
Digits,LR,1,1,0.97762,0.97225,0.0535,0.0
Digits,LR,0,0,0.90953,0.88234,0.23887,0.0
Digits,LR,1,1,0.99,0.99237,0.0106,0.0
Digits,LR,0,0,0.99909,0.99901,0.00153,0.0
Digits,LR,1,1,0.90764,0.91846,0.12097,0.0
Digits,LR,1,1,0.68817,0.70307,0.42607,0.15
Digits,LR,1,1,0.98956,0.99158,0.01374,0.0
Digits,LR,0,0,0.98992,0.99088,0.01493,0.0
Digits,LR,1,1,0.99638,0.99786,0.0027,0.0
Digits,LR,1,1,0.94713,0.95334,0.0749,0.0
Digits,LR,0,0,0.99996,0.99995,0.00013,0.0
Digits,LR,0,1,0.69388,0.68666,0.30443,0.15
Digits,LR,1,1,0.67087,0.6767,0.29449,0.15
Digits,LR,1,1,0.99999,0.99999,1e-05,0.0
Digits,LR,0,0,0.91896,0.91197,0.11653,0.0
Digits,LR,1,1,0.98129,0.98671,0.02119,0.0
Digits,LR,1,1,0.95645,0.96013,0.05784,0.0
Digits,LR,0,0,0.63455,0.58942,0.33382,0.3
Digits,LR,1,0,0.702,0.67732,0.23066,0.05
Digits,LR,0,0,0.83419,0.77401,0.37606,0.1
Digits,LR,1,1,0.81813,0.78304,0.24303,0.05
Digits,LR,0,0,0.99831,0.99845,0.00217,0.0
Digits,LR,0,0,0.9993,0.99952,0.00064,0.0
Digits,LR,0,1,0.66929,0.69253,0.48383,0.3
Digits,LR,0,1,0.846,0.82202,0.2328,0.0
Digits,LR,1,1,0.99963,0.99974,0.00054,0.0
Digits,LR,1,1,0.99993,0.99994,0.00014,0.0
Digits,LR,1,1,0.992,0.99243,0.01087,0.0
Digits,LR,0,0,0.99471,0.99408,0.00935,0.0
Digits,LR,0,0,0.91196,0.92327,0.07056,0.0
Digits,LR,1,1,0.99185,0.99432,0.00846,0.0
Digits,LR,0,1,0.81318,0.79098,0.22497,0.05
Digits,LR,0,0,0.99079,0.99223,0.01192,0.0
Digits,LR,0,0,0.99803,0.99863,0.00144,0.0
Digits,LR,1,1,0.99359,0.99456,0.00855,0.0
Digits,LR,1,1,0.99419,0.99462,0.00836,0.0
Digits,LR,1,1,0.9997,0.99925,0.00266,0.0
Digits,LR,0,0,0.99925,0.99945,0.00078,0.0
Digits,LR,0,0,0.99693,0.99675,0.0057,0.0
Digits,LR,0,0,0.81098,0.79416,0.18041,0.0
Digits,LR,1,1,0.99795,0.99866,0.0023,0.0
Digits,LR,0,0,0.95291,0.92675,0.26072,0.05
Digits,LR,0,0,0.99979,0.99978,0.00045,0.0
Digits,LR,0,0,0.99995,0.99996,0.00011,0.0
Digits,LR,0,0,0.80962,0.81761,0.32976,0.05
Digits,LR,1,1,0.93997,0.95401,0.05985,0.0
Digits,LR,0,0,0.84,0.8458,0.13606,0.0
Digits,LR,1,1,0.99521,0.99471,0.01294,0.0
Digits,LR,1,1,0.99474,0.99486,0.01481,0.0
Digits,LR,1,1,0.99978,0.99988,0.00028,0.0
Digits,LR,1,1,0.98117,0.98472,0.03315,0.0
Digits,LR,1,1,0.98528,0.98912,0.02134,0.0
Digits,LR,0,0,0.99582,0.99662,0.00518,0.0
Digits,LR,0,0,0.79624,0.7755,0.18058,0.0
Digits,LR,1,1,0.99623,0.99433,0.0168,0.0
Digits,LR,0,0,0.73924,0.75806,0.29237,0.05
Digits,LR,1,1,0.98199,0.98392,0.02858,0.0
Digits,LR,0,0,0.99868,0.99878,0.00177,0.0
Digits,LR,0,0,0.95034,0.95665,0.05539,0.0
Digits,LR,1,1,0.94867,0.92054,0.14174,0.0
Digits,LR,0,1,0.89775,0.87854,0.20388,0.0
Digits,LR,0,0,0.938,0.93524,0.06717,0.0
Digits,LR,1,1,0.58613,0.59986,0.34563,0.25
Digits,LR,1,1,0.99444,0.9951,0.00959,0.0
Digits,LR,1,0,0.90972,0.8836,0.2087,0.0
Digits,LR,0,0,0.99715,0.99787,0.00314,0.0
Digits,LR,0,0,0.83594,0.82297,0.20177,0.0
Digits,LR,1,1,0.99129,0.99261,0.00985,0.0
Digits,LR,0,0,0.93679,0.9512,0.0563,0.0
Digits,LR,1,1,0.77132,0.73508,0.20053,0.0
Digits,LR,0,0,0.96825,0.96963,0.0554,0.0
Digits,LR,1,1,0.9977,0.99842,0.0036,0.0
Digits,LR,0,0,0.99752,0.9975,0.00498,0.0
Digits,LR,1,1,0.50382,0.50714,0.38024,0.5
Digits,LR,1,1,0.98981,0.98916,0.02126,0.0
Digits,LR,1,1,0.99677,0.99805,0.00332,0.0
Digits,LR,0,0,0.9999,0.99992,0.00018,0.0
Digits,LR,1,1,0.76868,0.72973,0.40149,0.25
Digits,LR,1,1,0.99822,0.99815,0.00353,0.0
Digits,LR,0,0,0.79819,0.84658,0.11981,0.0
Digits,LR,1,1,0.99263,0.99456,0.00624,0.0
Digits,LR,0,0,0.99539,0.99142,0.02975,0.0
Digits,LR,1,1,0.98124,0.98261,0.0243,0.0
Digits,LR,0,0,0.99205,0.98433,0.07249,0.0
Digits,LR,1,1,0.98925,0.99369,0.00948,0.0
Digits,LR,1,1,0.99991,0.9999,0.00023,0.0
Digits,LR,0,0,0.99906,0.99934,0.00117,0.0
Digits,LR,1,0,0.84451,0.86152,0.20594,0.0
Digits,LR,1,0,0.88734,0.90143,0.08568,0.0
Digits,LR,0,0,0.98844,0.9888,0.02467,0.0
Digits,LR,0,0,0.92017,0.9226,0.11176,0.0
Digits,LR,0,0,0.99246,0.99343,0.01033,0.0
Digits,LR,1,1,0.99457,0.99622,0.00546,0.0
Digits,LR,0,0,0.941,0.91477,0.11701,0.0
Digits,LR,0,0,0.99626,0.99721,0.00397,0.0
Digits,LR,1,1,0.99875,0.99912,0.00176,0.0
Digits,LR,1,1,0.98583,0.98886,0.01895,0.0
Digits,LR,0,0,0.73717,0.75255,0.21523,0.0
Digits,LR,1,1,0.99849,0.99897,0.00198,0.0
Digits,LR,0,0,0.95369,0.94953,0.0903,0.0
Digits,LR,0,0,0.95672,0.93977,0.07502,0.0
Digits,LR,1,1,0.99993,0.99994,0.00013,0.0
Digits,LR,0,0,0.89241,0.89675,0.12716,0.0
Digits,LR,1,1,0.9709,0.96432,0.10332,0.0
Digits,LR,0,0,0.99825,0.9985,0.00286,0.0
Digits,LR,1,0,0.86837,0.87084,0.149,0.0
Digits,LR,1,1,0.99993,0.99993,0.00015,0.0
Digits,LR,1,1,0.99999,0.99999,2e-05,0.0
Digits,LR,0,0,0.9984,0.99886,0.00166,0.0
Digits,LR,1,1,0.74252,0.70505,0.3565,0.15
Digits,LR,0,0,0.99759,0.99745,0.00457,0.0
Digits,LR,0,0,0.9999,0.99993,0.00012,0.0
Digits,LR,1,1,0.99997,0.99999,4e-05,0.0
Digits,LR,1,1,0.78162,0.72283,0.39303,0.15
Digits,LR,0,0,0.99937,0.99951,0.00074,0.0
Digits,LR,1,0,0.92733,0.93236,0.10076,0.0
Digits,LR,0,0,0.99946,0.99951,0.00107,0.0
Digits,LR,1,1,0.99873,0.99903,0.00164,0.0
Digits,LR,1,1,0.98686,0.9927,0.00933,0.0
Digits,LR,0,0,0.99588,0.99635,0.00869,0.0
Digits,LR,1,0,0.90317,0.87549,0.21967,0.0
Digits,LR,1,0,0.83761,0.81719,0.21336,0.0
Digits,LR,0,0,0.98074,0.98044,0.02647,0.0
Digits,LR,0,0,0.99981,0.99986,0.00038,0.0
Digits,LR,1,1,0.63839,0.5947,0.37089,0.4
Digits,LR,1,1,0.99972,0.99984,0.00051,0.0
Digits,LR,0,0,0.99999,0.99999,1e-05,0.0
Digits,LR,0,0,0.97244,0.96966,0.05338,0.0
Digits,LR,1,1,0.87274,0.88902,0.10237,0.0
Digits,LR,0,0,0.99697,0.99642,0.00855,0.0
Digits,LR,0,0,0.9848,0.98246,0.04079,0.0
Digits,LR,0,0,0.98224,0.9816,0.02671,0.0
Digits,LR,1,1,0.99993,0.99993,0.00016,0.0
Digits,LR,0,0,0.99998,0.99997,0.00011,0.0
Digits,LR,1,0,0.96729,0.96342,0.06962,0.0
Digits,LR,1,1,0.99987,0.9999,0.00023,0.0
Digits,LR,0,1,0.50997,0.512,0.42479,0.45
Digits,LR,1,1,0.99883,0.9989,0.00213,0.0
Digits,LR,0,0,0.97927,0.97996,0.02087,0.0
Digits,LR,1,1,0.9936,0.99437,0.01388,0.0
Digits,LR,1,1,0.99589,0.99589,0.00531,0.0
Digits,LR,1,1,0.99947,0.99918,0.00417,0.0
Digits,LR,1,1,0.99635,0.99671,0.00469,0.0
Digits,LR,0,0,0.98248,0.98332,0.0345,0.0
Digits,LR,1,1,0.96992,0.95332,0.06894,0.0
Digits,LR,1,1,0.91593,0.93114,0.07767,0.0
Digits,LR,0,0,0.99886,0.99888,0.00198,0.0
Digits,LR,1,1,0.77477,0.79323,0.20867,0.0
Digits,LR,1,1,0.99566,0.99526,0.00712,0.0
Digits,LR,1,1,0.99996,0.99991,0.00039,0.0
Digits,LR,0,0,1.0,0.99999,4e-05,0.0
Digits,LR,1,1,0.98158,0.98732,0.01204,0.0
Digits,LR,0,0,0.56335,0.51763,0.32104,0.45
Digits,LR,0,0,0.9954,0.99588,0.00936,0.0
Digits,LR,1,1,0.9443,0.93441,0.07223,0.0
Digits,LR,1,1,0.99995,0.99997,6e-05,0.0
Digits,LR,0,0,0.99879,0.99902,0.00176,0.0
Digits,LR,0,0,0.99933,0.9992,0.00194,0.0
Digits,LR,1,1,0.99848,0.99877,0.00155,0.0
Digits,LR,0,0,0.99255,0.99448,0.00672,0.0
Digits,LR,0,0,0.99301,0.99361,0.01014,0.0
Digits,LR,0,0,0.98635,0.98714,0.01632,0.0
Digits,LR,1,1,0.92443,0.89437,0.21846,0.05
Digits,LR,0,0,0.99957,0.99967,0.00055,0.0
Digits,LR,1,1,0.92803,0.94287,0.08455,0.0
Digits,LR,1,1,0.96925,0.96332,0.07422,0.0
Digits,LR,0,0,0.99483,0.99539,0.00568,0.0
Digits,LR,0,0,0.71221,0.69772,0.2941,0.1
Digits,LR,0,0,0.98213,0.98132,0.02896,0.0
Digits,LR,1,1,0.99995,0.99996,8e-05,0.0
Digits,LR,0,1,0.51442,0.58286,0.40645,0.45
Digits,LR,1,1,0.96523,0.97051,0.03817,0.0
Digits,LR,0,0,0.99325,0.99429,0.00663,0.0
Digits,LR,0,0,0.99971,0.99939,0.00231,0.0
Digits,LR,0,1,0.96294,0.97165,0.02451,0.0
Digits,LR,0,1,0.68462,0.68412,0.31296,0.05
Digits,LR,1,1,0.99999,0.99999,1e-05,0.0
Digits,LR,0,1,0.93429,0.94564,0.05111,0.0
Digits,LR,0,0,0.98951,0.99234,0.01368,0.0
Digits,LR,0,0,0.99981,0.99986,0.00023,0.0
Digits,LR,1,0,0.95794,0.95019,0.08163,0.0
Digits,LR,0,0,0.98886,0.99096,0.00982,0.0
Digits,LR,1,1,0.99982,0.99985,0.00035,0.0
Digits,LR,0,0,0.99995,0.99997,7e-05,0.0
Digits,LR,1,1,0.99753,0.99698,0.00625,0.0
Digits,LR,1,1,0.99912,0.99938,0.00095,0.0
Digits,LR,0,0,0.99827,0.99897,0.00133,0.0
Digits,LR,0,0,0.98246,0.98736,0.02306,0.0
Digits,LR,1,1,0.992,0.99186,0.0138,0.0
Digits,LR,1,1,0.99717,0.99718,0.00364,0.0
Digits,LR,1,1,0.99606,0.99605,0.00668,0.0
Digits,LR,1,1,0.57143,0.55967,0.39201,0.4
Digits,LR,0,0,0.97363,0.96771,0.05389,0.0
Digits,LR,0,0,0.99982,0.9999,0.00017,0.0
Digits,LR,0,0,0.99221,0.99363,0.00903,0.0
Digits,LR,0,0,0.99861,0.99919,0.00103,0.0
Digits,LR,1,1,0.96681,0.96236,0.0461,0.0
Digits,LR,1,1,0.98668,0.99073,0.00948,0.0
Digits,LR,0,0,0.73181,0.7522,0.23371,0.05
Digits,LR,1,1,0.99989,0.99992,0.00013,0.0
Digits,LR,0,0,0.99999,1.0,1e-05,0.0
Digits,LR,0,0,0.91804,0.92791,0.11853,0.0
Digits,LR,1,1,0.93805,0.91836,0.17271,0.0
Digits,LR,0,0,0.99704,0.99795,0.00253,0.0
Digits,LR,1,1,0.99972,0.9998,0.00035,0.0
Digits,LR,1,1,0.9973,0.99733,0.0036,0.0
Digits,LR,0,1,0.99789,0.99654,0.01295,0.0
Digits,LR,0,0,0.9999,0.99936,0.00367,0.0
Digits,LR,0,0,0.96153,0.95788,0.08064,0.0
Digits,LR,0,0,0.92143,0.88656,0.19033,0.0
Digits,LR,0,0,0.99604,0.99649,0.01035,0.0
Digits,LR,1,1,0.73391,0.68105,0.45073,0.2
Digits,LR,1,1,0.99375,0.99383,0.009,0.0
Digits,LR,1,1,0.70778,0.64459,0.37328,0.2
Digits,LR,1,1,0.99926,0.9993,0.00128,0.0
Digits,LR,1,1,0.99871,0.99866,0.00208,0.0
Digits,LR,1,1,0.99974,0.9998,0.00047,0.0
Digits,LR,0,0,0.96253,0.96246,0.05055,0.0
Digits,LR,1,1,0.65206,0.68221,0.25055,0.05
Digits,LR,1,1,0.87418,0.88554,0.08572,0.0
Digits,LR,0,0,0.99578,0.99626,0.00676,0.0
Digits,LR,1,1,0.99727,0.99617,0.01134,0.0
Digits,LR,1,1,0.99908,0.99929,0.0011,0.0
Digits,LR,0,0,0.97807,0.94853,0.16403,0.0
Digits,LR,0,0,0.9787,0.98265,0.02831,0.0
Digits,LR,0,0,0.99498,0.99641,0.00408,0.0
Digits,LR,0,0,0.67019,0.65202,0.31906,0.25
Digits,LR,0,0,0.99917,0.99931,0.00139,0.0
Digits,LR,1,1,0.87785,0.89974,0.05948,0.0
Digits,LR,1,1,0.67477,0.67847,0.29948,0.15
Digits,LR,0,0,0.51188,0.56784,0.36641,0.35
Digits,LR,0,0,0.99895,0.9992,0.00162,0.0
Digits,LR,1,1,0.99165,0.99239,0.01011,0.0
Digits,LR,0,0,0.99935,0.99963,0.00057,0.0
Digits,LR,1,1,0.99993,0.99998,5e-05,0.0
Digits,LR,0,0,0.81688,0.76816,0.33831,0.1
Digits,LR,1,1,0.9999,0.99984,0.00042,0.0
Digits,LR,1,1,0.99993,0.99984,0.00061,0.0
Digits,LR,0,0,0.96284,0.96811,0.0462,0.0
Digits,LR,1,1,0.95801,0.96224,0.04899,0.0
Digits,LR,1,1,0.99631,0.99548,0.00868,0.0
Digits,LR,1,1,0.92966,0.92028,0.08322,0.0
Digits,LR,0,1,0.89598,0.86289,0.23942,0.0
Digits,LR,1,1,0.99972,0.99987,0.00018,0.0
Digits,LR,1,1,0.87046,0.81657,0.2261,0.0
Digits,LR,0,0,0.91829,0.9024,0.15803,0.0
Digits,LR,1,1,0.61367,0.63763,0.16738,0.1
Digits,LR,1,1,0.95005,0.95262,0.07097,0.0
Digits,LR,0,0,0.99447,0.99474,0.00805,0.0
Digits,LR,1,1,0.99592,0.99508,0.00621,0.0
Digits,LR,0,0,0.99333,0.99424,0.00756,0.0
Digits,LR,0,0,0.99873,0.99821,0.00398,0.0
Digits,LR,1,1,0.99896,0.9993,0.00079,0.0
Digits,LR,0,0,0.79985,0.81273,0.17633,0.0
Digits,LR,0,0,0.84592,0.83161,0.24504,0.0
Digits,LR,0,0,0.99691,0.99502,0.01304,0.0
Digits,LR,1,1,0.99851,0.99861,0.00233,0.0
Digits,LR,0,0,0.87093,0.85193,0.22828,0.0
Digits,LR,1,1,0.9947,0.99474,0.00832,0.0
Digits,LR,0,0,0.98788,0.98808,0.01615,0.0
Digits,LR,0,0,0.52821,0.46758,0.28175,0.45
Digits,LR,1,1,0.99891,0.9989,0.00196,0.0
Digits,LR,1,1,0.99953,0.99966,0.00064,0.0
Digits,LR,0,1,0.50508,0.4781,0.3591,0.6
Digits,LR,0,0,0.98174,0.98334,0.02802,0.0
Digits,LR,0,0,0.93934,0.93938,0.06175,0.0
Digits,LR,1,1,0.95304,0.95254,0.06984,0.0
Digits,LR,1,1,0.91558,0.91844,0.0541,0.0
Digits,LR,0,1,0.93218,0.92235,0.14181,0.0
Digits,LR,1,1,0.90284,0.89183,0.15279,0.0
Digits,LR,0,0,0.8681,0.83508,0.14589,0.0
Digits,LR,0,0,0.94942,0.96023,0.05814,0.0
Digits,LR,1,1,0.94244,0.95743,0.04062,0.0
Digits,LR,1,1,0.97467,0.97947,0.02188,0.0
Digits,LR,1,1,0.95955,0.96947,0.02932,0.0
Digits,LR,1,1,0.97326,0.97824,0.01806,0.0
Digits,LR,1,1,0.8715,0.84544,0.17855,0.0
Digits,LR,0,0,0.98173,0.98196,0.02357,0.0
Digits,LR,1,1,0.9974,0.99718,0.00588,0.0
Digits,LR,0,0,0.99775,0.99791,0.00405,0.0
Digits,LR,1,1,0.98381,0.98197,0.05131,0.0
Digits,LR,0,0,0.78706,0.79679,0.23282,0.0
Digits,LR,0,0,0.82037,0.84279,0.13936,0.0
Digits,LR,0,0,0.60422,0.61663,0.41014,0.25
Digits,LR,1,1,0.95651,0.96439,0.044,0.0
Digits,LR,0,0,0.99478,0.99636,0.00519,0.0
Digits,LR,1,1,0.99976,0.99964,0.00079,0.0
Digits,LR,1,1,0.99931,0.99928,0.00155,0.0
Digits,LR,1,1,0.9998,0.99973,0.00072,0.0
Digits,LR,0,0,0.99237,0.99455,0.00866,0.0
Digits,LR,1,1,0.99825,0.9986,0.00196,0.0
Digits,LR,0,0,0.99976,0.99977,0.00048,0.0
Digits,LR,1,1,0.63752,0.59177,0.47785,0.3
Digits,LR,0,0,0.9873,0.98801,0.01309,0.0
Digits,LR,0,0,0.99834,0.99892,0.00132,0.0
Digits,LR,1,1,0.95793,0.95935,0.04585,0.0
Digits,LR,0,0,0.93841,0.92692,0.08125,0.0
Digits,LR,0,1,0.60676,0.58433,0.31498,0.3
Digits,LR,0,1,0.72648,0.688,0.24596,0.05
Digits,LR,1,1,0.99965,0.99969,0.00065,0.0
Digits,LR,1,1,0.82343,0.82893,0.14352,0.0
Digits,LR,1,1,0.9999,0.99987,0.00045,0.0
Digits,LR,1,1,0.9998,0.99986,0.00025,0.0
Digits,LR,1,1,0.99717,0.99483,0.01178,0.0
Digits,LR,0,0,0.99857,0.9987,0.00197,0.0
Digits,LR,1,1,0.99925,0.99946,0.00082,0.0
Digits,LR,0,0,0.99988,0.99988,0.0002,0.0
Digits,LR,1,1,0.94087,0.94351,0.05651,0.0
Digits,LR,0,0,0.84382,0.82289,0.20009,0.0
Digits,LR,0,0,0.96326,0.95821,0.07806,0.0
Digits,LR,0,0,0.99908,0.99929,0.00099,0.0
Digits,LR,1,1,0.99413,0.99367,0.01239,0.0
Digits,LR,1,1,0.97152,0.97702,0.04006,0.0
Digits,LR,1,1,0.83227,0.83199,0.15908,0.0
Digits,LR,0,0,0.90463,0.88943,0.15716,0.0
Digits,LR,0,1,0.64219,0.646,0.37435,0.2
Digits,LR,1,1,0.81997,0.80745,0.15782,0.0
Digits,LR,1,1,0.89657,0.83083,0.34082,0.05
Digits,LR,0,0,0.97539,0.9728,0.03664,0.0
Digits,LR,1,1,0.73763,0.77462,0.26813,0.1
Digits,LR,1,1,0.94942,0.94033,0.11128,0.0
Digits,LR,1,1,0.99497,0.99455,0.01134,0.0
Digits,LR,0,0,0.52005,0.48619,0.4403,0.6
Digits,LR,0,0,0.99514,0.99601,0.0067,0.0
Digits,LR,0,0,0.65913,0.58395,0.46058,0.35
Digits,LR,0,0,0.91886,0.92469,0.07722,0.0
Digits,LR,1,1,0.98698,0.98978,0.01107,0.0
Digits,LR,0,0,0.99994,0.99994,0.0001,0.0
Digits,LR,1,1,0.99824,0.99863,0.00299,0.0
Digits,LR,0,0,0.99998,0.99998,3e-05,0.0
Digits,LR,1,1,0.99946,0.99965,0.00057,0.0
Digits,LR,1,1,0.97371,0.97536,0.02623,0.0
Digits,LR,0,0,0.99832,0.98661,0.06403,0.0
Digits,LR,1,1,0.99984,0.99989,0.00021,0.0
Digits,LR,1,1,0.99067,0.99109,0.02143,0.0
Digits,LR,0,0,1.0,1.0,1e-05,0.0
Digits,LR,0,0,0.99972,0.99979,0.00035,0.0
Digits,LR,0,0,0.99794,0.99855,0.00192,0.0
Digits,LR,0,1,0.63486,0.54446,0.53295,0.35
Digits,LR,1,0,0.65928,0.62603,0.38297,0.3
Digits,LR,0,0,0.99999,0.99999,1e-05,0.0
Digits,LR,1,1,0.9647,0.96902,0.04433,0.0
Digits,LR,0,0,0.99903,0.99893,0.00223,0.0
Digits,LR,1,1,0.99255,0.99204,0.01484,0.0
Digits,LR,1,1,0.99888,0.99926,0.00158,0.0
Digits,LR,1,1,0.99912,0.99936,0.00124,0.0
Digits,LR,0,0,0.99566,0.99624,0.00542,0.0
Digits,LR,0,0,0.99883,0.99789,0.00542,0.0
Digits,LR,0,0,0.99996,0.99996,7e-05,0.0
Digits,LR,1,1,0.61591,0.58769,0.40864,0.3
Digits,LR,0,0,0.99887,0.99914,0.00177,0.0
Digits,LR,1,1,0.99869,0.99903,0.00137,0.0
Digits,LR,0,0,0.98606,0.98658,0.02399,0.0
Digits,LR,1,1,0.90754,0.914,0.10139,0.0
Digits,LR,1,1,0.99913,0.99906,0.00279,0.0
Digits,LR,1,1,0.90419,0.89252,0.22615,0.0
Digits,LR,1,1,0.9989,0.99912,0.0009,0.0
Digits,LR,1,1,0.99972,0.99974,0.00066,0.0
Digits,LR,1,1,0.99887,0.99913,0.00128,0.0
Digits,LR,0,0,0.99162,0.99375,0.00941,0.0
Digits,LR,0,0,0.99995,0.99997,7e-05,0.0
Digits,LR,1,1,0.96579,0.97305,0.03445,0.0
Digits,LR,1,1,0.9923,0.9954,0.00595,0.0
Digits,LR,1,1,0.95358,0.95157,0.0747,0.0
Digits,LR,1,1,0.98865,0.98809,0.03078,0.0
Digits,LR,0,0,0.99948,0.99968,0.00047,0.0
Digits,LR,0,0,0.99814,0.99888,0.00136,0.0
Digits,LR,1,1,0.99922,0.9995,0.00068,0.0
Digits,LR,1,1,0.95971,0.93967,0.1119,0.0
Digits,LR,1,1,0.98393,0.98881,0.01223,0.0
Digits,LR,0,0,0.99966,0.9998,0.00028,0.0
Digits,LR,1,1,0.99931,0.99936,0.00113,0.0
Digits,LR,0,1,0.54087,0.45418,0.33099,0.55
Digits,LR,0,0,0.52937,0.51987,0.27868,0.4
Digits,LR,0,0,0.99547,0.99651,0.00812,0.0
Digits,LR,0,0,0.99317,0.99489,0.00596,0.0
Digits,LR,1,1,0.71678,0.70041,0.29908,0.15
Digits,LR,0,1,0.95872,0.94091,0.11231,0.0
Digits,LR,0,0,0.99976,0.99985,0.00027,0.0
Digits,LR,1,1,0.69603,0.65575,0.24108,0.05
Digits,LR,1,1,0.99614,0.99728,0.00399,0.0
Digits,LR,1,1,0.87022,0.85497,0.12889,0.0
Digits,LR,0,0,0.99855,0.99899,0.00246,0.0
Digits,LR,1,1,0.98308,0.98401,0.03574,0.0
Digits,LR,0,0,0.71678,0.68319,0.29578,0.1
Digits,LR,0,0,0.97803,0.98076,0.01898,0.0
Digits,LR,1,1,0.99792,0.99777,0.00662,0.0
Digits,LR,1,1,0.98972,0.9919,0.01482,0.0
Digits,LR,0,0,0.59176,0.59622,0.2838,0.25
Digits,LR,0,0,0.99807,0.99845,0.0032,0.0
Digits,LR,0,0,0.70925,0.70665,0.23325,0.05
Digits,LR,1,1,0.94972,0.93607,0.10355,0.0
Digits,LR,0,0,0.99851,0.99877,0.00232,0.0
Digits,LR,0,0,0.99691,0.99737,0.00488,0.0
Digits,LR,1,1,0.98871,0.98692,0.02826,0.0
Digits,LR,0,0,0.6517,0.67025,0.30412,0.2
Digits,LR,1,1,0.64474,0.63028,0.27868,0.2
Digits,LR,0,0,0.98174,0.98414,0.02097,0.0
Digits,LR,0,0,0.86891,0.90203,0.19213,0.0
Digits,LR,1,1,0.99999,1.0,1e-05,0.0
Digits,LR,0,0,0.60016,0.59678,0.21178,0.25
Digits,LR,1,1,0.91204,0.9401,0.08001,0.0
Digits,LR,1,0,0.77406,0.77815,0.21182,0.05
Digits,LR,1,1,0.99846,0.99922,0.00214,0.0
Digits,LR,1,1,0.99949,0.99958,0.00093,0.0
Digits,LR,0,0,0.96728,0.96874,0.03263,0.0
Digits,LR,1,1,0.76651,0.78842,0.19053,0.0
Digits,LR,1,1,0.99826,0.99861,0.00176,0.0
Digits,LR,1,1,0.99521,0.99348,0.01432,0.0
Digits,LR,1,1,0.9991,0.99937,0.00089,0.0
Digits,LR,0,0,0.99589,0.99622,0.00979,0.0
Digits,LR,1,1,0.77223,0.71028,0.36257,0.15
Digits,LR,1,1,0.9995,0.99971,0.00039,0.0
Digits,LR,1,1,0.99988,0.99992,0.00012,0.0
